,Comentario
125,"Cuando vayas a Ciudad de México no dejes de visitar el Museo de Templo Mayor ,un lugar digno de visitar"
126,Excelentes instalaciones aunque haya partes cerradas por remodelación
127,"Es un lugar estupendo y tienes que estar realmente interesado. Contar con tiempo para visitarlo porque la zona arqueológica se complementa con el museo muy bien logrado. Entradas económicas para extranjeros. Leer previamente sobre el lugar y su proyección museológica, será de gran utilidad."
128,"Una visita obligatoria en la CDMX, sobre todo si te interesa la historia. El museo está muy bien cuidado y muestra detalles de la época previa y posterior a la Conquista, de la ciudad y Templo Mayor de Tenochtitlan. Quedas sorprendido luego de ver esta exposición, además de que la ruta por entre las ruinas te hace sentir la importancia de esta cultura. Simplemente espectacular."
129,"Woooow!! Una experiencia realmente impresionante, el conocer parte de lo que fue la gran ciudad de Tenochtitlan, los restos, los vestigios, todo el arte que poseían los antiguos pobladores de esta gran urbe! La Coyolxhauqui, impresionante! Tláloc, las cabezas de serpientes y reptiles!! Que experiencia tan bella, debes ir con algo de tiempo ya que cierran a las 6 de la tarde, y el recorrido se hace, tranquilamente en unas 4 horas, si te gusta el arte y la arqueología, ver los detalles de los materiales con los que construían los templos, las armas, visualizar cómo era Cuauhtémoc, Cortés, la Malintzin, las cerámicas, las figuras religiosas, en fin, una gran experiencia y una gran exposición para conocer los antecedentes de nuestra cultura prehispánica, me fascinó ya que había ido hace ya varias décadas, pero ahora fue totalmente diferente, admiración por éste gran patrimonio histórico cultural que poseemos!!!!"
130,"Me encantó el museo del templo mayor. El costo  del boleto es de $ 75. Pesos  y al entrar puedes ver un vídeo de 3 minutos qué explica de manera muy breve los periodos de construcción del templo.  Después recorres la zona arqueológica. Dónde puedes notar algunas cabezas de serpiente, la casa de las águilas y los adoratorios a  los Dioses.  Siguiendo con el recorrido entras al museo.  Dónde podrás admirar dos enormes monolitos de piedra.  Así como también  vestigios de vasijas. Collares  máscaras . Flora y Fauna qué existía en aquel entonces.  Les recomiendo mucho visitarlo es un museo realmente muy completo  y muy bien explicado.."
131,"Yacimiento maravilloso y destacadísimo a nivel mundial, especialmente cuando se encuentra vecino al punto central de la Ciudad de México. Solo en Roma o Cusco he visto cosa semejante."
132,El lugar donde la cultura Azteca construyó un imperio antes de la llegada de los españoles. La gran Tenochtitlán fue derruida por los conquistadores y este museo representa lo poco que queda en pie. Considero que deberían ampliar la información de las ruinas pero aún así es un lugar que forma parte de nuestra historia y de nuestra identidad como mexicanos. El museo además posee piezas recuperadas en varias excavaciones efectuadas que son muy valiosas.
133,Un lugar que se resiste a ser olvidado. Vale mucho la pena el recorrido y el museo.
134,"Para muchos pasa desapercibido este hermoso museo ubicado a un costado de Palacio Nacional, el recorrido es impresionante y aún se conserva gran mayoría de lo que fuera el Templo mayor de nuestras civilizaciones. El edificio de exposiciones también cuenta con una basta colección de piezas y replicas de nuestra historia."
135,"Llegué temprano para evitar aglomeramiento, se tardaron como 30 min para pasar porque se espero que se juntaran más personas. La zona arqueológica está CERRADA, así que lo único es el museo. Supongo que hay que seguir las redes del museo para saber que está disponible."
