,Comentario
83,"Es un excelente museo con exposiciones asombrosas, pero que aún le hace falta un poco de mantenimiento. La sala de física es una de las más interactivas e interesantes."
84,"Me parecio un lugar perfecto para aprender mas sobre muchos temas que en la escuela no te pueden explicar de una forma interactiva en tu escuela o colegio, aunque los materiales estan desgastados y si vas en grupo es difícil hacer las actividades ya que la persona que te apoya a poder realizarlas esta ocupad@ con tu grupo y no llegas a hacer todas las actividades"
85,"Universum, el Museo de las Ciencias de la Universidad de México (UNAM), es el primer museo en México dedicado a promover conocimiento a los ciudadanos y extranjero y promover la ciencia y tecnología al público dentro del ámbito universitario y escolar, cuenta con trece salas, las cuales se encuentran divididas por una temática diferente, las trece exposiciones permanentes se encuentran distribuidas en los cuatro edificios y tres pisos del complejo.

La entrada general es de $90.00, menores de 12 años, estudiantes, docentes, personas con discapacidad, miembros del INAPAM, trabajadores y exalumnos UNAM con credencial vigente es de $80.00. La verdad esperaría que hubiera más descuento para los alumnos de la unam."
86,"Es un gran museo de ciencias. Tiene mucha información que se puede adquirir de manera interactiva. Además, tiene talleres donde los jóvenes y los adultos aprendemos las aplicaciones de la ciencia experimental. Muy recomendable: la sal dedicada al Universo."
87,"Desde hace años es uno de mis museos favoritos, con distintas salas y todo explicado de manera muy sencilla. Visita obligada para niños y deseable para adultos."
88,CIUDAD UNIVERSITARIA UNAM CIUDAD DE MEXICO. Museo de ciencias para niños mayores de diez años. Con talleres para todas las edades desde niños pequeños. Con varias salas tematicas interactivas. Cuesta la entrada y tiene poco estacionamiento.
89,"De los mejores museos a los que puedes ir
Esta bastante grande e interesante
Ideal para visitar en familia
El costo es medianamente accesible
Cuenta con restaurante, planetario, jardín, laberinto entre muchas otras atracciones
Es recomendable llegar desde temprano, pues el tiempo ahí se pasa muy rápido
Cuenta con material didáctico y audio visual que hace que el aprendizaje sea más divertido
Apto para todas las edades"
90,"En mi visita a este museo me gusto mucho muy padre, de buena calidad  y tiene salas sobre temas muy interesantes como las especies del océano, pero lo único es que necesita actividades muy interactivas, también la comida es cara ( es mejor llevar tu propia comida) y por ultimo los niños pequeños se pueden aburrir o cansar bastante rápido."
91,"A quien se le ocurre que un niño de dos años deba pagar por ingresar con su familia a un espacio de la UNIVERSIDAD. Extraño, pero cierto.
En este lugar la imaginación es poca pero las exposiciones intentan ser alternativas. Siempre tratan de ser novedosos... es lo único que se agradece. Por cierto cobran 15 pesos el estacionamiento, hay lugares, para que no dejen sus vehículos a la deriva y muy lejos de dicho lugar."
92,"Perfecto lugar para aprender y pasar un rato muy agradable. Yo acabo de ir en día Domingo y los precios son los mismos todos los días...   No hay promoción de 2x1 los Martes ni ningún otro día. Sólo hubo promoción en vacaciones.
✓Entrada al museo $70.00 M.N. general
✓Con credencial de estudiante é INAPAM $60.00
✓Costo extra de $10.00 por una función en el planetario de aproximadamente 25 a 30min de duración
✓Costo por grupo de 4 personas $250.00 ($62.50 por  persona) museo y una función en el planetario.
*(Fecha de comentario: 26.ENE.18)"
93,"Esta super entretenido este museo sólo que si cobran yo fui en domingo y cobran el general 90 pesos y si eres estudiante son 80 pesos pero vale la pena la información de las salas ya que esta dividido en 3pisos y cada uno corresponde a diferentes sectores por ejemplo física, biología, elementos de la tabla periódica y ahorita hay una exposición de impresión en 3D realmente esa fue la que me gustó más"
94,"Es muy padre el museo aparte de ser interactivo tiene diferentes temas, aún cuando está en remodelación puedes disfrutar de el Interior de el museo que está en perfectas condiviones.
Para disfrutarlo debes llegar muy temprano  y ser de los últimos en salir."
95,"Es mi museo favorito por mucho. El costo es muy accesible y las salas son amplias, con diferentes temas de ciencia y tecnología. La mayoría cuenta con actividades interactivas y el planetario aunque es pequeño, cumple lo que promete. Las instalaciones están bien cuidadas y limpias, los chicos que te brindan el recorrido están ampliamente preparados y son muy amables. :)"
96,"Increíble, muy interactivo, interesante, muy amable su personal. Gracias en especial a la chica por su recorrido en Océanos, su explicación detallada y las respuestas a mis preguntas fueron muy atentas y lindas. Gracias por la experiencia!! 😊❤️"
